power,heartRate,cadence,time
165.0,124.0,77.0,601.0
164.0,125.0,78.0,602.0
164.0,125.0,78.0,603.0
165.0,125.0,77.0,604.0
164.0,126.0,77.0,605.0
165.0,126.0,77.0,606.0
165.0,126.0,77.0,607.0
164.0,126.0,77.0,608.0
165.0,125.0,77.0,609.0
165.0,125.0,76.0,610.0
165.0,125.0,76.0,611.0
164.0,126.0,77.0,612.0
165.0,126.0,77.0,613.0
165.0,125.0,77.0,614.0
166.0,124.0,78.0,615.0
167.0,123.0,79.0,616.0
166.0,123.0,81.0,617.0
164.0,123.0,82.0,618.0
164.0,123.0,81.0,619.0
165.0,121.0,81.0,620.0
164.0,121.0,81.0,621.0
164.0,120.0,81.0,622.0
164.0,122.0,81.0,623.0
165.0,122.0,81.0,624.0
164.0,120.0,80.0,625.0
164.0,120.0,79.0,626.0
164.0,121.0,79.0,627.0
165.0,121.0,79.0,628.0
165.0,121.0,79.0,629.0
165.0,121.0,80.0,630.0
165.0,121.0,79.0,631.0
164.0,121.0,79.0,632.0
165.0,122.0,79.0,633.0
166.0,122.0,80.0,634.0
164.0,122.0,80.0,635.0
166.0,122.0,80.0,636.0
165.0,122.0,81.0,637.0
166.0,123.0,81.0,638.0
164.0,123.0,83.0,639.0
164.0,124.0,82.0,640.0
164.0,124.0,81.0,641.0
165.0,125.0,79.0,642.0
164.0,126.0,79.0,643.0
164.0,127.0,79.0,644.0
165.0,127.0,79.0,645.0
165.0,127.0,79.0,646.0
165.0,127.0,80.0,647.0
166.0,126.0,80.0,648.0
164.0,125.0,81.0,649.0
164.0,124.0,81.0,650.0
163.0,122.0,80.0,651.0
164.0,121.0,79.0,652.0
164.0,121.0,79.0,653.0
163.0,121.0,79.0,654.0
165.0,122.0,78.0,655.0
165.0,123.0,78.0,656.0
165.0,123.0,78.0,657.0
165.0,124.0,78.0,658.0
165.0,125.0,78.0,659.0
164.0,125.0,79.0,660.0
165.0,126.0,78.0,661.0
164.0,126.0,78.0,662.0
164.0,126.0,78.0,663.0
164.0,127.0,78.0,664.0
165.0,127.0,78.0,665.0
165.0,127.0,78.0,666.0
164.0,128.0,77.0,667.0
165.0,128.0,77.0,668.0
164.0,128.0,76.0,669.0
164.0,128.0,76.0,670.0
164.0,128.0,77.0,671.0
164.0,128.0,77.0,672.0
164.0,128.0,77.0,673.0
165.0,128.0,77.0,674.0
165.0,128.0,78.0,675.0
165.0,129.0,77.0,676.0
165.0,129.0,77.0,677.0
164.0,129.0,78.0,678.0
165.0,128.0,77.0,679.0
165.0,128.0,78.0,680.0
164.0,128.0,77.0,681.0
164.0,127.0,76.0,682.0
165.0,127.0,76.0,683.0
165.0,127.0,76.0,684.0
165.0,127.0,77.0,685.0
166.0,127.0,78.0,686.0
163.0,127.0,78.0,687.0
164.0,127.0,78.0,688.0
165.0,127.0,78.0,689.0
164.0,127.0,77.0,690.0
165.0,127.0,78.0,691.0
164.0,127.0,77.0,692.0
164.0,127.0,77.0,693.0
164.0,127.0,77.0,694.0
165.0,127.0,76.0,695.0
165.0,127.0,77.0,696.0
166.0,127.0,77.0,697.0
164.0,127.0,77.0,698.0
164.0,128.0,77.0,699.0
164.0,128.0,76.0,700.0
166.0,128.0,77.0,701.0
165.0,128.0,77.0,702.0
164.0,128.0,77.0,703.0
165.0,128.0,77.0,704.0
164.0,129.0,76.0,705.0
165.0,129.0,77.0,706.0
166.0,130.0,76.0,707.0
164.0,130.0,77.0,708.0
164.0,130.0,78.0,709.0
164.0,130.0,78.0,710.0
165.0,130.0,78.0,711.0
165.0,131.0,78.0,712.0
164.0,130.0,77.0,713.0
165.0,130.0,77.0,714.0
164.0,130.0,77.0,715.0
165.0,130.0,78.0,716.0
166.0,130.0,76.0,717.0
164.0,130.0,77.0,718.0
164.0,130.0,77.0,719.0
165.0,130.0,76.0,720.0
165.0,130.0,76.0,721.0
164.0,129.0,76.0,722.0
165.0,129.0,76.0,723.0
165.0,129.0,76.0,724.0
166.0,129.0,76.0,725.0
165.0,129.0,77.0,726.0
165.0,129.0,79.0,727.0
164.0,129.0,78.0,728.0
164.0,129.0,78.0,729.0
165.0,128.0,78.0,730.0
164.0,128.0,78.0,731.0
165.0,128.0,79.0,732.0
163.0,128.0,79.0,733.0
164.0,128.0,79.0,734.0
164.0,128.0,79.0,735.0
164.0,128.0,78.0,736.0
164.0,128.0,79.0,737.0
165.0,128.0,77.0,738.0
163.0,128.0,77.0,739.0
165.0,128.0,76.0,740.0
166.0,128.0,75.0,741.0
165.0,128.0,77.0,742.0
165.0,128.0,76.0,743.0
165.0,128.0,77.0,744.0
165.0,128.0,77.0,745.0
166.0,128.0,77.0,746.0
165.0,127.0,78.0,747.0
165.0,127.0,80.0,748.0
164.0,126.0,79.0,749.0
164.0,125.0,78.0,750.0
165.0,125.0,78.0,751.0
164.0,125.0,79.0,752.0
165.0,123.0,78.0,753.0
164.0,122.0,77.0,754.0
165.0,122.0,77.0,755.0
164.0,122.0,77.0,756.0
164.0,123.0,77.0,757.0
165.0,123.0,77.0,758.0
165.0,122.0,77.0,759.0
165.0,120.0,77.0,760.0
165.0,118.0,77.0,761.0
166.0,117.0,77.0,762.0
165.0,116.0,77.0,763.0
165.0,117.0,77.0,764.0
164.0,118.0,77.0,765.0
164.0,119.0,77.0,766.0
164.0,120.0,77.0,767.0
164.0,118.0,78.0,768.0
164.0,119.0,76.0,769.0
165.0,118.0,76.0,770.0
165.0,118.0,76.0,771.0
164.0,117.0,77.0,772.0
165.0,116.0,78.0,773.0
163.0,116.0,77.0,774.0
164.0,114.0,77.0,775.0
164.0,115.0,76.0,776.0
165.0,117.0,76.0,777.0
165.0,118.0,77.0,778.0
165.0,120.0,75.0,779.0
164.0,120.0,75.0,780.0
164.0,121.0,75.0,781.0
166.0,120.0,75.0,782.0
166.0,119.0,76.0,783.0
166.0,119.0,77.0,784.0
166.0,119.0,79.0,785.0
164.0,119.0,79.0,786.0
163.0,119.0,81.0,787.0
164.0,117.0,80.0,788.0
164.0,117.0,79.0,789.0
165.0,116.0,77.0,790.0
164.0,116.0,76.0,791.0
165.0,117.0,76.0,792.0
169.0,118.0,77.0,793.0
164.0,117.0,79.0,794.0
163.0,117.0,82.0,795.0
165.0,118.0,81.0,796.0
164.0,119.0,79.0,797.0
164.0,120.0,79.0,798.0
165.0,119.0,78.0,799.0
164.0,118.0,78.0,800.0
164.0,116.0,77.0,801.0
164.0,116.0,77.0,802.0
163.0,116.0,77.0,803.0
165.0,118.0,77.0,804.0
164.0,118.0,76.0,805.0
165.0,118.0,76.0,806.0
166.0,116.0,76.0,807.0
164.0,114.0,76.0,808.0
164.0,114.0,77.0,809.0
164.0,114.0,76.0,810.0
165.0,114.0,77.0,811.0
164.0,112.0,77.0,812.0
165.0,114.0,78.0,813.0
165.0,116.0,78.0,814.0
164.0,118.0,77.0,815.0
165.0,120.0,77.0,816.0
164.0,122.0,77.0,817.0
164.0,123.0,76.0,818.0
164.0,123.0,76.0,819.0
166.0,122.0,76.0,820.0
164.0,121.0,76.0,821.0
165.0,122.0,76.0,822.0
165.0,121.0,76.0,823.0
165.0,121.0,75.0,824.0
164.0,120.0,76.0,825.0
165.0,119.0,75.0,826.0
165.0,119.0,75.0,827.0
165.0,117.0,75.0,828.0
164.0,117.0,75.0,829.0
164.0,117.0,77.0,830.0
165.0,116.0,76.0,831.0
165.0,115.0,75.0,832.0
164.0,113.0,75.0,833.0
165.0,111.0,75.0,834.0
163.0,109.0,75.0,835.0
165.0,109.0,75.0,836.0
165.0,110.0,75.0,837.0
165.0,109.0,75.0,838.0
164.0,111.0,76.0,839.0
164.0,113.0,77.0,840.0
164.0,115.0,76.0,841.0
163.0,117.0,75.0,842.0
165.0,119.0,74.0,843.0
165.0,120.0,73.0,844.0
165.0,121.0,73.0,845.0
165.0,122.0,73.0,846.0
166.0,121.0,73.0,847.0
165.0,119.0,74.0,848.0
165.0,117.0,75.0,849.0
167.0,116.0,76.0,850.0
165.0,116.0,77.0,851.0
165.0,116.0,78.0,852.0
164.0,114.0,77.0,853.0
164.0,114.0,77.0,854.0
165.0,112.0,77.0,855.0
163.0,111.0,76.0,856.0
165.0,110.0,75.0,857.0
166.0,112.0,75.0,858.0
166.0,112.0,75.0,859.0
164.0,112.0,75.0,860.0
164.0,112.0,76.0,861.0
164.0,111.0,76.0,862.0
164.0,110.0,76.0,863.0
165.0,110.0,76.0,864.0
165.0,110.0,76.0,865.0
165.0,111.0,76.0,866.0
165.0,111.0,75.0,867.0
163.0,111.0,75.0,868.0
164.0,112.0,75.0,869.0
165.0,113.0,74.0,870.0
164.0,111.0,75.0,871.0
166.0,113.0,74.0,872.0
166.0,115.0,75.0,873.0
164.0,117.0,75.0,874.0
165.0,119.0,76.0,875.0
165.0,120.0,77.0,876.0
164.0,121.0,75.0,877.0
166.0,121.0,75.0,878.0
165.0,122.0,75.0,879.0
164.0,124.0,75.0,880.0
165.0,122.0,77.0,881.0
166.0,120.0,77.0,882.0
167.0,119.0,80.0,883.0
164.0,119.0,81.0,884.0
164.0,118.0,81.0,885.0
163.0,117.0,80.0,886.0
163.0,116.0,78.0,887.0
165.0,117.0,77.0,888.0
164.0,116.0,76.0,889.0
166.0,115.0,76.0,890.0
163.0,115.0,77.0,891.0
164.0,114.0,76.0,892.0
165.0,114.0,76.0,893.0
165.0,114.0,76.0,894.0
165.0,116.0,76.0,895.0
163.0,117.0,77.0,896.0
164.0,118.0,76.0,897.0
165.0,120.0,76.0,898.0
165.0,121.0,76.0,899.0
164.0,123.0,76.0,900.0
165.0,124.0,76.0,901.0
165.0,125.0,76.0,902.0
163.0,125.0,75.0,903.0
164.0,126.0,75.0,904.0
164.0,126.0,74.0,905.0
166.0,126.0,74.0,906.0
164.0,127.0,74.0,907.0
167.0,128.0,75.0,908.0
165.0,128.0,75.0,909.0
164.0,129.0,77.0,910.0
164.0,129.0,78.0,911.0
162.0,131.0,78.0,912.0
165.0,132.0,76.0,913.0
165.0,133.0,76.0,914.0
164.0,133.0,75.0,915.0
165.0,133.0,74.0,916.0
165.0,132.0,75.0,917.0
165.0,131.0,74.0,918.0
166.0,130.0,74.0,919.0
164.0,131.0,75.0,920.0
164.0,132.0,75.0,921.0
164.0,133.0,75.0,922.0
163.0,134.0,77.0,923.0
162.0,135.0,77.0,924.0
165.0,135.0,75.0,925.0
166.0,135.0,75.0,926.0
166.0,135.0,76.0,927.0
165.0,134.0,76.0,928.0
164.0,133.0,76.0,929.0
165.0,135.0,75.0,930.0
163.0,136.0,74.0,931.0
165.0,135.0,74.0,932.0
165.0,134.0,73.0,933.0
164.0,131.0,73.0,934.0
165.0,129.0,73.0,935.0
165.0,128.0,73.0,936.0
166.0,130.0,73.0,937.0
164.0,128.0,73.0,938.0
164.0,126.0,73.0,939.0
165.0,124.0,73.0,940.0
165.0,123.0,73.0,941.0
164.0,123.0,73.0,942.0
164.0,123.0,74.0,943.0
164.0,123.0,73.0,944.0
165.0,123.0,72.0,945.0
166.0,121.0,72.0,946.0
166.0,121.0,72.0,947.0
165.0,121.0,73.0,948.0
165.0,120.0,74.0,949.0
166.0,120.0,76.0,950.0
163.0,122.0,77.0,951.0
164.0,123.0,76.0,952.0
164.0,124.0,76.0,953.0
164.0,124.0,75.0,954.0
164.0,120.0,75.0,955.0
164.0,118.0,74.0,956.0
164.0,116.0,74.0,957.0
164.0,116.0,74.0,958.0
165.0,120.0,74.0,959.0
164.0,120.0,73.0,960.0
165.0,121.0,72.0,961.0
164.0,122.0,72.0,962.0
165.0,123.0,73.0,963.0
166.0,124.0,73.0,964.0
166.0,125.0,74.0,965.0
166.0,123.0,75.0,966.0
165.0,123.0,76.0,967.0
163.0,122.0,77.0,968.0
164.0,121.0,77.0,969.0
164.0,120.0,76.0,970.0
163.0,121.0,75.0,971.0
166.0,122.0,74.0,972.0
165.0,121.0,74.0,973.0
164.0,120.0,75.0,974.0
164.0,118.0,73.0,975.0
164.0,116.0,73.0,976.0
164.0,114.0,73.0,977.0
165.0,114.0,73.0,978.0
164.0,113.0,74.0,979.0
165.0,114.0,73.0,980.0
165.0,115.0,73.0,981.0
164.0,117.0,73.0,982.0
165.0,117.0,73.0,983.0
165.0,117.0,73.0,984.0
164.0,118.0,72.0,985.0
164.0,117.0,72.0,986.0
165.0,116.0,72.0,987.0
164.0,118.0,73.0,988.0
164.0,118.0,73.0,989.0
163.0,119.0,73.0,990.0
164.0,119.0,73.0,991.0
165.0,120.0,73.0,992.0
166.0,119.0,73.0,993.0
165.0,117.0,74.0,994.0
164.0,118.0,73.0,995.0
163.0,118.0,73.0,996.0
164.0,117.0,72.0,997.0
164.0,119.0,72.0,998.0
165.0,119.0,72.0,999.0
164.0,120.0,71.0,1000.0
165.0,122.0,70.0,1001.0
166.0,122.0,70.0,1002.0
165.0,123.0,70.0,1003.0
165.0,123.0,70.0,1004.0
165.0,122.0,72.0,1005.0
166.0,120.0,71.0,1006.0
165.0,120.0,71.0,1007.0
164.0,119.0,72.0,1008.0
164.0,117.0,71.0,1009.0
165.0,117.0,72.0,1010.0
166.0,118.0,71.0,1011.0
165.0,120.0,72.0,1012.0
164.0,120.0,72.0,1013.0
165.0,121.0,72.0,1014.0
164.0,120.0,72.0,1015.0
165.0,118.0,72.0,1016.0
164.0,117.0,71.0,1017.0
165.0,117.0,71.0,1018.0
164.0,118.0,71.0,1019.0
164.0,120.0,72.0,1020.0
165.0,122.0,70.0,1021.0
164.0,124.0,70.0,1022.0
164.0,125.0,70.0,1023.0
164.0,127.0,71.0,1024.0
164.0,127.0,71.0,1025.0
165.0,125.0,71.0,1026.0
164.0,124.0,71.0,1027.0
163.0,126.0,70.0,1028.0
164.0,125.0,70.0,1029.0
163.0,123.0,70.0,1030.0
164.0,122.0,70.0,1031.0
166.0,122.0,68.0,1032.0
167.0,120.0,69.0,1033.0
165.0,118.0,71.0,1034.0
163.0,118.0,72.0,1035.0
165.0,119.0,73.0,1036.0
164.0,118.0,72.0,1037.0
165.0,119.0,72.0,1038.0
165.0,118.0,72.0,1039.0
166.0,117.0,72.0,1040.0
165.0,117.0,73.0,1041.0
165.0,115.0,72.0,1042.0
165.0,114.0,73.0,1043.0
164.0,114.0,73.0,1044.0
163.0,115.0,72.0,1045.0
164.0,115.0,72.0,1046.0
164.0,116.0,71.0,1047.0
164.0,116.0,70.0,1048.0
165.0,117.0,71.0,1049.0
164.0,119.0,71.0,1050.0
164.0,119.0,71.0,1051.0
163.0,119.0,71.0,1052.0
165.0,120.0,71.0,1053.0
164.0,119.0,71.0,1054.0
166.0,118.0,72.0,1055.0
164.0,117.0,72.0,1056.0
164.0,117.0,72.0,1057.0
164.0,118.0,71.0,1058.0
164.0,117.0,71.0,1059.0
163.0,118.0,71.0,1060.0
164.0,118.0,70.0,1061.0
166.0,118.0,70.0,1062.0
166.0,119.0,70.0,1063.0
166.0,120.0,70.0,1064.0
164.0,121.0,71.0,1065.0
166.0,122.0,71.0,1066.0
164.0,122.0,72.0,1067.0
164.0,122.0,72.0,1068.0
164.0,122.0,72.0,1069.0
166.0,122.0,72.0,1070.0
164.0,122.0,72.0,1071.0
164.0,123.0,72.0,1072.0
164.0,123.0,72.0,1073.0
164.0,123.0,72.0,1074.0
165.0,122.0,71.0,1075.0
163.0,122.0,70.0,1076.0
164.0,122.0,70.0,1077.0
167.0,123.0,71.0,1078.0
165.0,123.0,72.0,1079.0
163.0,123.0,72.0,1080.0
164.0,122.0,72.0,1081.0
165.0,122.0,72.0,1082.0
165.0,120.0,72.0,1083.0
163.0,121.0,71.0,1084.0
165.0,121.0,71.0,1085.0
167.0,122.0,72.0,1086.0
166.0,122.0,74.0,1087.0
165.0,120.0,74.0,1088.0
164.0,120.0,74.0,1089.0
163.0,119.0,73.0,1090.0
164.0,122.0,73.0,1091.0
165.0,123.0,72.0,1092.0
164.0,122.0,72.0,1093.0
165.0,121.0,71.0,1094.0
165.0,121.0,72.0,1095.0
165.0,122.0,73.0,1096.0
163.0,123.0,73.0,1097.0
165.0,122.0,74.0,1098.0
164.0,120.0,72.0,1099.0
165.0,120.0,72.0,1100.0
165.0,119.0,72.0,1101.0
164.0,119.0,72.0,1102.0
164.0,119.0,72.0,1103.0
164.0,117.0,72.0,1104.0
164.0,119.0,72.0,1105.0
164.0,120.0,72.0,1106.0
165.0,120.0,72.0,1107.0
165.0,121.0,72.0,1108.0
165.0,122.0,71.0,1109.0
167.0,122.0,71.0,1110.0
165.0,123.0,72.0,1111.0
165.0,122.0,73.0,1112.0
164.0,122.0,73.0,1113.0
165.0,121.0,73.0,1114.0
164.0,121.0,72.0,1115.0
164.0,121.0,72.0,1116.0
165.0,122.0,72.0,1117.0
165.0,123.0,72.0,1118.0
164.0,121.0,71.0,1119.0
164.0,122.0,71.0,1120.0
165.0,122.0,71.0,1121.0
164.0,122.0,71.0,1122.0
165.0,122.0,71.0,1123.0
167.0,123.0,71.0,1124.0
165.0,123.0,72.0,1125.0
165.0,124.0,73.0,1126.0
166.0,122.0,74.0,1127.0
165.0,122.0,74.0,1128.0
164.0,122.0,75.0,1129.0
167.0,121.0,76.0,1130.0
165.0,123.0,77.0,1131.0
164.0,123.0,78.0,1132.0
164.0,121.0,77.0,1133.0
164.0,120.0,77.0,1134.0
164.0,118.0,75.0,1135.0
164.0,117.0,74.0,1136.0
164.0,115.0,73.0,1137.0
164.0,115.0,73.0,1138.0
165.0,115.0,73.0,1139.0
165.0,116.0,72.0,1140.0
164.0,116.0,72.0,1141.0
164.0,117.0,72.0,1142.0
165.0,117.0,71.0,1143.0
165.0,117.0,72.0,1144.0
164.0,118.0,71.0,1145.0
164.0,118.0,70.0,1146.0
165.0,119.0,70.0,1147.0
165.0,119.0,70.0,1148.0
165.0,119.0,71.0,1149.0
164.0,118.0,71.0,1150.0
166.0,118.0,72.0,1151.0
164.0,118.0,72.0,1152.0
164.0,117.0,72.0,1153.0
164.0,116.0,72.0,1154.0
164.0,117.0,72.0,1155.0
164.0,118.0,71.0,1156.0
163.0,119.0,70.0,1157.0
164.0,117.0,70.0,1158.0
164.0,118.0,69.0,1159.0
166.0,119.0,70.0,1160.0
165.0,119.0,69.0,1161.0
165.0,120.0,69.0,1162.0
164.0,120.0,70.0,1163.0
165.0,120.0,70.0,1164.0
166.0,118.0,70.0,1165.0
167.0,119.0,71.0,1166.0
168.0,119.0,74.0,1167.0
167.0,119.0,77.0,1168.0
163.0,120.0,79.0,1169.0
163.0,118.0,80.0,1170.0
165.0,117.0,77.0,1171.0
164.0,116.0,76.0,1172.0
164.0,117.0,76.0,1173.0
166.0,115.0,75.0,1174.0
163.0,114.0,76.0,1175.0
163.0,114.0,76.0,1176.0
164.0,114.0,74.0,1177.0
165.0,114.0,74.0,1178.0
165.0,113.0,74.0,1179.0
166.0,113.0,74.0,1180.0
164.0,112.0,74.0,1181.0
165.0,112.0,74.0,1182.0
165.0,114.0,73.0,1183.0
165.0,114.0,73.0,1184.0
166.0,116.0,74.0,1185.0
169.0,118.0,75.0,1186.0
165.0,120.0,79.0,1187.0
164.0,122.0,80.0,1188.0
164.0,122.0,79.0,1189.0
164.0,121.0,79.0,1190.0
164.0,119.0,79.0,1191.0
164.0,117.0,77.0,1192.0
165.0,117.0,76.0,1193.0
165.0,116.0,76.0,1194.0
166.0,115.0,76.0,1195.0
165.0,115.0,78.0,1196.0
165.0,115.0,77.0,1197.0
164.0,114.0,78.0,1198.0
164.0,115.0,78.0,1199.0
164.0,115.0,78.0,1200.0
164.0,117.0,78.0,1201.0
163.0,118.0,76.0,1202.0
164.0,120.0,75.0,1203.0
165.0,121.0,74.0,1204.0
166.0,121.0,75.0,1205.0
165.0,122.0,75.0,1206.0
165.0,122.0,76.0,1207.0
165.0,122.0,76.0,1208.0
164.0,122.0,75.0,1209.0
164.0,122.0,75.0,1210.0
166.0,123.0,76.0,1211.0
164.0,124.0,75.0,1212.0
166.0,123.0,76.0,1213.0
165.0,122.0,77.0,1214.0
